2026,1,001,155.2,353.3,-0.01419407,-1.612761,0,0.017,0.001536543,0.183365,0,0.056,-0.01449439,-1.757918,0,0.032,-1.757918,2.197,0,13.51,6.123,2269,1824,9.55,0
2026,1,002,155.2,353.8,-0.01370429,-1.557111,0,0.018,0.001855557,0.2214348,0,0.009,-0.01384226,-1.678826,0,0.021,-1.678826,2.231,0,13.51,6.125,2269,1829,9.55,0
2026,1,003,155.2,354.4,-0.01331112,-1.512439,0,0.01,0.001379946,0.1646773,0,0.028,-0.01386437,-1.681507,0,0.019,-1.681507,2.233,0,13.51,6.128,2269,1834,9.55,0
2026,1,004,155.3,354.9,-0.01315754,-1.494988,0,0.01,0.001803007,0.2151637,0,0.013,-0.01384317,-1.678937,0,0.018,-1.678937,2.255,0,13.52,6.131,2269,1830,9.55,0
2026,1,005,155.3,355.5,-0.01330775,-1.512056,0,0.014,0.001815671,0.216675,0,0.023,-0.01391728,-1.687925,0,0.015,-1.687925,2.265,0,13.52,6.134,2269,1847,9.55,0
2026,1,006,155.3,356,-0.01350949,-1.534978,0,0.007,0.002452763,0.2927029,0,0.014,-0.01371543,-1.663443,0,0.011,-1.663443,2.289,0,13.51,6.138,2269,1834,9.55,0
2026,1,007,155.3,356.6,-0.01346633,-1.530074,0,0.008,0.002369857,0.2828093,0,0.014,-0.01407359,-1.706883,0,0.011,-1.706883,2.277,0,13.51,6.142,2269,1832,9.55,0
2026,1,008,155.3,357.1,-0.01349437,-1.53326,0,0.007,0.001938943,0.2313857,0,0.022,-0.0141101,-1.711311,0,0.014,-1.711311,2.283,0,13.52,6.146,2269,1831,9.55,0
2026,1,009,155.3,357.7,-0.01333801,-1.515493,0,0.013,0.002053941,0.2451091,0,0.034,-0.01410519,-1.710715,0,0.023,-1.710715,2.295,0,13.51,6.15,2269,1847,9.56,0
2026,1,010,155.3,358.2,-0.01318379,-1.497971,0,0.007,-0.000345239,-0.04119945,0.001,0.071,-0.01521434,-1.845236,0,0.037,-1.845236,2.199,0,13.52,6.155,2269,1832,9.56,0
2026,1,011,155.3,358.8,-0.01322435,-1.502579,0,0.008,-0.0006253608,-0.07462806,0,0.026,-0.01574323,-1.909381,0,0.012,-1.909381,2.165,0,13.53,6.159,2269,1835,9.56,0
2026,1,012,155.3,359.3,-0.01303709,-1.481302,0,0.01,0.0006092429,0.07270462,0,0.034,-0.01545593,-1.874537,0,0.014,-1.874537,2.178,0,13.51,6.164,2268,1837,9.56,0
2026,1,013,155.3,359.9,-0.01289336,-1.464971,0,0.009,0.001308124,0.1561063,0,0.038,-0.01483554,-1.799295,0,0.047,-1.799295,2.214,0,13.52,6.168,2269,1833,9.56,0
2026,1,014,155.3,0.425,-0.01293161,-1.469318,0,0.012,0.001767191,0.2108895,0,0.014,-0.01394879,-1.691747,0,0.031,-1.691747,2.258,0,13.51,6.172,2269,1826,9.56,0
2026,1,015,155.3,0.977,-0.01296208,-1.472779,0,0.01,0.002035054,0.2428552,0,0.027,-0.01340191,-1.625419,0,0.021,-1.625419,2.305,0,13.5,6.176,2268,1841,9.56,0
2026,1,016,155.3,1.528,-0.01275725,-1.449506,0,0.008,0.002990876,0.3569193,0,0.027,-0.01288136,-1.562286,0,0.016,-1.562286,2.358,0,13.51,6.181,2267,1835,9.56,0
2026,1,017,155.3,2.077,-0.01274769,-1.44842,0,0.01,0.001974476,0.235626,0,0.024,-0.01320424,-1.601446,0,0.016,-1.601446,2.358,0,13.5,6.186,2268,1831,9.56,0
2026,1,018,155.3,2.628,-0.0127492,-1.448592,0,0.011,0.002129178,0.2540877,0,0.017,-0.01320824,-1.60193,0,0.012,-1.60193,2.385,0,13.53,6.191,2267,1834,9.56,0
2026,1,019,155.3,3.18,-0.01266005,-1.438463,0,0.007,0.002842405,0.3392013,0,0.031,-0.01294447,-1.56994,0,0.023,-1.56994,2.413,0,13.52,6.197,2268,1835,9.56,0
2026,1,020,155.3,3.73,-0.0126005,-1.431696,0,0.008,0.003302625,0.3941221,0,0.011,-0.01263598,-1.532525,0,0.015,-1.532525,2.445,0,13.51,6.203,2268,1840,9.56,0
2026,1,021,155.3,4.279,-0.01265521,-1.437912,0,0.009,0.003448001,0.4114707,0,0.017,-0.01261839,-1.530393,0,0.014,-1.530393,2.47,0,13.52,6.209,2268,1834,9.56,0
2026,1,022,155.3,4.829,-0.01277678,-1.451726,0,0.007,0.003787307,0.4519622,0,0.034,-0.01242039,-1.506378,0,0.022,-1.506378,2.496,0,13.51,6.215,2269,1821,9.56,0
2026,1,023,155.3,5.378,-0.01260783,-1.432529,0,0.009,0.00420679,0.5020216,0,0.052,-0.01221141,-1.481033,0,0.022,-1.481033,2.537,0,13.5,6.222,2268,1830,9.56,0
2026,1,024,155.2,5.924,-0.01277704,-1.451755,0,0.015,0.002459964,0.2935623,0,0.036,-0.01281237,-1.553919,0,0.015,-1.553919,2.509,0,13.51,6.229,2268,1830,9.57,0
2026,1,025,155.2,6.471,-0.01312681,-1.491497,0,0.009,0.002696014,0.3217316,0,0.024,-0.01273673,-1.544744,0,0.023,-1.544744,2.538,0,13.53,6.235,2268,1839,9.57,0
2026,1,026,155.2,7.018,-0.01279204,-1.45346,0,0.018,0.003424394,0.4086535,0,0.04,-0.01232438,-1.494734,0,0.018,-1.494734,2.58,0,13.52,6.243,2268,1821,9.57,0
2026,1,027,155.2,7.564,-0.01238471,-1.407177,0,0.016,0.004155113,0.4958547,0,0.022,-0.01176719,-1.427157,0,0.027,-1.427157,2.619,0,13.51,6.25,2268,1837,9.57,0
