"506,2018,244,1,-4.148,.2,15.8,13.21"
"506,2018,244,2,-3.863,.364,15.88,13.21"
"506,2018,244,3,-3.689,.387,15.93,13.21"
"506,2018,244,4,-3.762,.313,15.91,13.21"
"506,2018,244,5,-3.863,.148,15.88,13.21"
"506,2018,244,6,-3.843,.145,15.86,13.21"
"506,2018,244,7,-3.793,.294,15.87,13.21"
"506,2018,244,8,-3.793,.31,15.87,13.21"
"506,2018,244,9,-3.766,.213,15.89,13.21"
"506,2018,244,10,-3.84,.245,15.83,13.21"
"506,2018,244,11,-4.117,.071,15.8,13.21"
"506,2018,244,12,-4.133,.123,15.81,13.21"
"506,2018,244,13,-4.141,.261,15.83,13.21"
"506,2018,244,14,-4.033,.177,15.84,13.21"
"506,2018,244,15,-4.114,.039,15.82,13.21"
"506,2018,244,16,-3.832,.287,15.89,13.21"
"506,2018,244,17,-3.797,.374,15.92,13.21"
"506,2018,244,18,-3.755,.258,15.91,13.21"
"506,2018,244,19,-3.971,.065,15.81,13.21"
"506,2018,244,20,-4.145,0,15.75,13.21"
"506,2018,244,21,-4.287,0,15.72,13.21"
"506,2018,244,22,-4.403,0,15.72,13.22"
"506,2018,244,23,-4.341,.006,15.73,13.21"
"506,2018,244,24,-4.291,.006,15.72,13.21"
"506,2018,244,25,-4.384,0,15.72,13.21"
"506,2018,244,26,-4.345,.013,15.71,13.21"
"506,2018,244,27,-4.43,.003,15.7,13.21"
"506,2018,244,28,-4.415,.048,15.72,13.21"
"506,2018,244,29,-4.307,0,15.73,13.21"
"506,2018,244,30,-4.164,.187,15.77,13.21"
"506,2018,244,31,-4.029,.09,15.8,13.21"
"506,2018,244,32,-3.82,.268,15.85,13.21"
"506,2018,244,33,-3.778,.139,15.86,13.21"
"506,2018,244,34,-3.967,.139,15.83,13.21"
"506,2018,244,35,-4.056,0,15.76,13.21"
"506,2018,244,36,-4.314,0,15.72,13.22"
"506,2018,244,37,-4.349,0,15.72,13.21"
"506,2018,244,38,-4.214,-.013,15.7,13.22"
"506,2018,244,39,-4.202,.048,15.73,13.21"
"506,2018,244,40,-4.021,.226,15.78,13.21"
"506,2018,244,41,-3.809,.261,15.81,13.21"
"506,2018,244,42,-3.886,.168,15.82,13.21"
"506,2018,244,43,-3.905,.094,15.8,13.21"
"506,2018,244,44,-3.959,.058,15.8,13.21"
"506,2018,244,45,-4.125,.006,15.75,13.21"
"506,2018,244,46,-4.295,.052,15.73,13.21"
"506,2018,244,47,-4.303,.01,15.69,13.21"
"506,2018,244,48,-4.577,-.026,15.66,13.21"
"506,2018,244,49,-4.592,-.003,15.67,13.21"
"506,2018,244,50,-4.38,.048,15.72,13.21"
"506,2018,244,51,-4.272,-.003,15.7,13.21"
"506,2018,244,52,-4.322,.006,15.71,13.21"
"506,2018,244,53,-4.38,-.006,15.67,13.21"
"506,2018,244,54,-4.315,-.032,15.62,13.21"
